,Study_hours,Marks
0,1,85
1,1,92
2,1,105
3,2,106
4,2,108
5,2,120
6,2,126
7,2,128
8,2,134
9,2,135
10,3,135
11,3,143
12,3,168
13,3,169
14,3,173
15,4,180
16,4,184
17,4,188
18,4,203
19,4,203
20,4,206
21,4,223
22,5,227
23,5,231
24,5,241
25,5,246
26,5,259
27,5,260
28,5,261
29,6,268
30,6,282
31,7,316
32,7,328
33,7,335
34,7,336
35,7,340
36,8,349
37,8,354
38,8,356
39,8,362
40,8,373
41,9,376
42,9,385
43,9,394
44,10,404
45,10,418
46,10,425
47,10,432
48,10,440
49,10,465
50,10,474
51,10,479
52,10,483
53,10,491
54,10,492
55,11,492
56,11,503
57,11,513
58,11,514
59,12,518
60,12,525
61,12,528
62,12,538
63,12,544
64,12,550
65,12,561
66,12,570
67,13,571
68,13,579
69,13,586
70,13,602
71,13,604
72,13,606
73,14,616
74,14,622
75,14,623
76,14,626
77,14,632
78,15,636
79,15,636
80,15,638
81,15,655
82,15,658
83,15,663
84,15,685
85,16,688
86,16,689
87,16,697
88,16,701
89,16,719
90,16,725
91,17,729
92,17,739
93,17,746
94,17,750
95,17,761
96,17,769
97,17,772
98,17,776
99,17,793
